price_paid,deed_date,postcode,paon,street,town,district,dataset
"139950","2004-12-09","SW2 2NJ","5","HAMBRIDGE WAY","LONDON","LAMBETH",dataset
"45000","1998-04-24","SW2 2NH","23","LONGFORD WALK","LONDON","LAMBETH",dataset
"235000","2008-05-23","SW2 2NH","4","LONGFORD WALK","LONDON","LAMBETH",dataset
"143000","2003-05-14","SW2 2QN","10","ROPERS WALK","LONDON","LAMBETH",dataset
"190000","2009-12-09","SW2 2QN","16","ROPERS WALK","LONDON","LAMBETH",dataset
"150000","2002-11-08","SW2 2QN","16","ROPERS WALK","LONDON","LAMBETH",dataset
"95000","1999-12-23","SW2 2QN","16","ROPERS WALK","LONDON","LAMBETH",dataset
"132000","2011-05-06","SW2 2QN","6","ROPERS WALK","LONDON","LAMBETH",dataset
"155000","2013-07-25","SW2 2NG","15","SCARLETTE MANOR WAY","LONDON","LAMBETH",dataset
"170000","2007-11-26","SW2 2NG","15","SCARLETTE MANOR WAY","LONDON","LAMBETH",dataset
"150000","2005-08-30","SW2 2QU","27","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
"160500","2006-08-23","SW2 2QU","31","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
"500000","2016-03-31","SW2 2QX","10","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
"297500","2012-02-03","SW2 2QX","10","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
"275000","2008-01-28","SW2 2QX","10","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
"81500","1998-01-27","SW2 2QX","10","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
"218000","2005-03-18","SW2 2QX","12","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
"67000","1997-05-22","SW2 2QX","2","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
"145000","2002-02-11","SW2 2QY","18","UPGROVE MANOR WAY","LONDON","LAMBETH",dataset
67771,1995-01-01,,,,London,lambeth,dataset
65382,1995-02-01,,,,London,lambeth,dataset
66337,1995-03-01,,,,London,lambeth,dataset
66389,1995-04-01,,,,London,lambeth,dataset
69035,1995-05-01,,,,London,lambeth,dataset
68881,1995-06-01,,,,London,lambeth,dataset
69609,1995-07-01,,,,London,lambeth,dataset
68840,1995-08-01,,,,London,lambeth,dataset
70156,1995-09-01,,,,London,lambeth,dataset
69616,1995-10-01,,,,London,lambeth,dataset
68054,1995-11-01,,,,London,lambeth,dataset
67199,1995-12-01,,,,London,lambeth,dataset
68780,1996-01-01,,,,London,lambeth,dataset
72306,1996-02-01,,,,London,lambeth,dataset
71762,1996-03-01,,,,London,lambeth,dataset
71664,1996-04-01,,,,London,lambeth,dataset
71386,1996-05-01,,,,London,lambeth,dataset
73469,1996-06-01,,,,London,lambeth,dataset
73809,1996-07-01,,,,London,lambeth,dataset
72820,1996-08-01,,,,London,lambeth,dataset
72935,1996-09-01,,,,London,lambeth,dataset
72307,1996-10-01,,,,London,lambeth,dataset
73356,1996-11-01,,,,London,lambeth,dataset
74737,1996-12-01,,,,London,lambeth,dataset
78248,1997-01-01,,,,London,lambeth,dataset
79064,1997-02-01,,,,London,lambeth,dataset
79199,1997-03-01,,,,London,lambeth,dataset
77778,1997-04-01,,,,London,lambeth,dataset
81000,1997-05-01,,,,London,lambeth,dataset
85372,1997-06-01,,,,London,lambeth,dataset
91999,1997-07-01,,,,London,lambeth,dataset
91972,1997-08-01,,,,London,lambeth,dataset
92522,1997-09-01,,,,London,lambeth,dataset
89224,1997-10-01,,,,London,lambeth,dataset
91413,1997-11-01,,,,London,lambeth,dataset
93057,1997-12-01,,,,London,lambeth,dataset
96231,1998-01-01,,,,London,lambeth,dataset
97302,1998-02-01,,,,London,lambeth,dataset
96672,1998-03-01,,,,London,lambeth,dataset
97598,1998-04-01,,,,London,lambeth,dataset
99378,1998-05-01,,,,London,lambeth,dataset
104807,1998-06-01,,,,London,lambeth,dataset
107921,1998-07-01,,,,London,lambeth,dataset
109637,1998-08-01,,,,London,lambeth,dataset
108289,1998-09-01,,,,London,lambeth,dataset
107016,1998-10-01,,,,London,lambeth,dataset
106182,1998-11-01,,,,London,lambeth,dataset
107116,1998-12-01,,,,London,lambeth,dataset
106119,1999-01-01,,,,London,lambeth,dataset
107158,1999-02-01,,,,London,lambeth,dataset
106659,1999-03-01,,,,London,lambeth,dataset
109746,1999-04-01,,,,London,lambeth,dataset
112374,1999-05-01,,,,London,lambeth,dataset
112867,1999-06-01,,,,London,lambeth,dataset
117305,1999-07-01,,,,London,lambeth,dataset
120470,1999-08-01,,,,London,lambeth,dataset
125138,1999-09-01,,,,London,lambeth,dataset
125678,1999-10-01,,,,London,lambeth,dataset
126668,1999-11-01,,,,London,lambeth,dataset
129214,1999-12-01,,,,London,lambeth,dataset
132007,2000-01-01,,,,London,lambeth,dataset
135770,2000-02-01,,,,London,lambeth,dataset
