price_paid,deed_date,postcode,paon,street,town,district,dataset,tag
165000,2003-06-03,SW2 2QF,88,HARDEL WALK,LONDON,LAMBETH,dataset,0 bed
130000,2003-03-06,SW2 2QF,88,HARDEL WALK,LONDON,LAMBETH,dataset,0 bed
109000,2001-08-09,SW2 2QG,13,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
295000,2014-06-03,SW2 2QG,17,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
43500,1997-10-01,SW2 2QG,19,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
239000,2008-03-28,SW2 2QG,21,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
106000,2001-06-08,SW2 2QG,21,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
275000,2013-08-13,SW2 2QG,33,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
132000,2003-03-28,SW2 2QG,33,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
138000,2004-02-06,SW2 2QG,35,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
37950,1996-03-29,SW2 2QG,35,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
49500,1998-02-27,SW2 2QG,37,HARDEL WALK,LONDON,LAMBETH,dataset,0 bed
123450,2002-12-23,SW2 2QG,43,HARDEL WALK,LONDON,LAMBETH,dataset,0 bed
230000,2006-05-25,SW2 2QG,45,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
85000,1999-12-10,SW2 2QG,45,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
40000,1995-03-31,SW2 2QG,45,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
189950,2006-03-14,SW2 2QG,47,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
95000,2000-11-17,SW2 2QG,47,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
375000,2017-02-03,SW2 2QG,5,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
78000,2001-03-06,SW2 2QG,5,HARDEL WALK,LONDON,LAMBETH,dataset,2 bed
145000,2011-01-17,SW2 2QH,21,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,1 bed
100000,2005-09-16,SW2 2QJ,25,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,1 bed
140000,2011-10-19,SW2 2QJ,35,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,1 bed
59000,2000-01-21,SW2 2QJ,35,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,1 bed
160000,2010-11-19,SW2 2QJ,49,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,1 bed
265000,2009-07-13,SW2 2QL,26,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,4 bed
125000,2000-08-11,SW2 2QL,26,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,4 bed
241330,2011-11-18,SW2 2QL,6,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,4 bed
72000,1998-04-14,SW2 2QL,6,BODLEY MANOR WAY,LONDON,LAMBETH,dataset,4 bed
153000,2007-01-08,SW2 2NE,7,CHANDLERS WAY,LONDON,LAMBETH,dataset,1 bed
137000,2007-09-04,SW2 2NN,11,CROSBY WALK,LONDON,LAMBETH,dataset,1 bed
400000,2017-06-09,SW2 2NN,14,CROSBY WALK,LONDON,LAMBETH,dataset,2 bed
125000,2006-12-20,SW2 2NN,19,CROSBY WALK,LONDON,LAMBETH,dataset,1 bed
320000,2014-07-01,SW2 2NN,21,CROSBY WALK,LONDON,LAMBETH,dataset,3 bed
175000,2005-08-26,SW2 2NN,21,CROSBY WALK,LONDON,LAMBETH,dataset,3 bed
175000,2008-01-18,SW2 2NN,33,CROSBY WALK,LONDON,LAMBETH,dataset,3 bed
116000,2003-02-14,SW2 2NN,33,CROSBY WALK,LONDON,LAMBETH,dataset,3 bed
72500,2000-07-21,SW2 2NN,37,CROSBY WALK,LONDON,LAMBETH,dataset,3 bed
178000,2006-04-24,SW2 2NN,4,CROSBY WALK,LONDON,LAMBETH,dataset,2 bed
430000,2015-09-21,SW2 2NN,42,CROSBY WALK,LONDON,LAMBETH,dataset,4 bed
205000,2005-01-12,SW2 2NN,42,CROSBY WALK,LONDON,LAMBETH,dataset,4 bed
480000,2017-08-18,SW2 2NN,43,CROSBY WALK,LONDON,LAMBETH,dataset,4 bed
182000,2004-05-12,SW2 2NN,43,CROSBY WALK,LONDON,LAMBETH,dataset,4 bed
182000,2004-05-12,SW2 2NN,43,CROSBY WALK,LONDON,LAMBETH,dataset,4 bed
265000,2008-02-08,SW2 2NN,45,CROSBY WALK,LONDON,LAMBETH,dataset,4 bed
65000,1997-03-24,SW2 2NN,45,CROSBY WALK,LONDON,LAMBETH,dataset,4 bed
139950,2004-12-09,SW2 2NJ,5,HAMBRIDGE WAY,LONDON,LAMBETH,dataset,1 bed
45000,1998-04-24,SW2 2NH,23,LONGFORD WALK,LONDON,LAMBETH,dataset,3 bed
235000,2008-05-23,SW2 2NH,4,LONGFORD WALK,LONDON,LAMBETH,dataset,2 bed
143000,2003-05-14,SW2 2QN,10,ROPERS WALK,LONDON,LAMBETH,dataset,3 bed
190000,2009-12-09,SW2 2QN,16,ROPERS WALK,LONDON,LAMBETH,dataset,3 bed
150000,2002-11-08,SW2 2QN,16,ROPERS WALK,LONDON,LAMBETH,dataset,3 bed
95000,1999-12-23,SW2 2QN,16,ROPERS WALK,LONDON,LAMBETH,dataset,3 bed
132000,2011-05-06,SW2 2QN,6,ROPERS WALK,LONDON,LAMBETH,dataset,1 bed
155000,2013-07-25,SW2 2NG,15,SCARLETTE MANOR WAY,LONDON,LAMBETH,dataset,1 bed
